starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:46:08 2017	1513345568	46	263	309	220
Fri Dec 15 14:44:49 2017	1513345489	45	264	309	221
Fri Dec 15 14:44:22 2017	1513345462	46	263	309	220
Fri Dec 15 14:48:58 2017	1513345738	45	264	309	221
Fri Dec 15 14:49:28 2017	1513345768	44	265	309	222
Fri Dec 15 14:47:32 2017	1513345652	45	265	309	221
Fri Dec 15 14:49:32 2017	1513345772	46	263	309	220
Fri Dec 15 14:48:09 2017	1513345689	44	265	309	221
Fri Dec 15 14:45:28 2017	1513345528	45	264	309	221
Fri Dec 15 14:47:10 2017	1513345630	44	265	309	221
Fri Dec 15 14:46:19 2017	1513345579	45	264	309	221
Fri Dec 15 14:48:21 2017	1513345701	45	264	309	222
Fri Dec 15 14:47:27 2017	1513345647	44	265	309	222
Fri Dec 15 14:47:43 2017	1513345663	46	264	309	222
Fri Dec 15 14:46:02 2017	1513345562	44	266	309	220
Fri Dec 15 14:49:12 2017	1513345752	45	265	310	220
Fri Dec 15 14:46:48 2017	1513345608	47	262	310	220
Fri Dec 15 14:49:12 2017	1513345752	47	262	310	221
Fri Dec 15 14:49:41 2017	1513345781	44	266	310	222
Fri Dec 15 14:44:43 2017	1513345483	45	265	310	222
Fri Dec 15 14:45:28 2017	1513345528	47	263	310	220
Fri Dec 15 14:46:18 2017	1513345578	45	264	310	220
Fri Dec 15 14:48:00 2017	1513345680	44	266	310	220
Fri Dec 15 14:48:53 2017	1513345733	45	265	310	221
Fri Dec 15 14:49:34 2017	1513345774	45	265	310	222
Fri Dec 15 14:49:36 2017	1513345776	46	264	310	220
Fri Dec 15 14:47:45 2017	1513345665	46	264	310	221
Fri Dec 15 14:44:33 2017	1513345473	44	266	310	224
Fri Dec 15 14:49:01 2017	1513345741	48	262	310	220
Fri Dec 15 14:45:40 2017	1513345540	45	265	310	222
Fri Dec 15 14:44:41 2017	1513345481	47	263	310	220
Fri Dec 15 14:46:19 2017	1513345579	44	265	310	222
Fri Dec 15 14:45:51 2017	1513345551	46	264	310	221
Fri Dec 15 14:48:38 2017	1513345718	44	265	310	221
Fri Dec 15 14:45:36 2017	1513345536	45	265	310	222
Fri Dec 15 14:45:53 2017	1513345553	46	264	310	221
Fri Dec 15 14:44:31 2017	1513345471	46	264	310	221
Fri Dec 15 14:46:45 2017	1513345605	45	265	310	221
Fri Dec 15 14:48:35 2017	1513345715	45	265	310	223
Fri Dec 15 14:45:26 2017	1513345526	48	262	310	220
Fri Dec 15 14:45:52 2017	1513345552	44	266	310	221
Fri Dec 15 14:44:58 2017	1513345498	44	266	310	223
Fri Dec 15 14:46:21 2017	1513345581	44	266	310	220
Fri Dec 15 14:48:14 2017	1513345694	45	265	310	220
Fri Dec 15 14:48:02 2017	1513345682	47	263	310	221
Fri Dec 15 14:47:01 2017	1513345621	45	266	310	220
Fri Dec 15 14:49:05 2017	1513345745	47	263	310	221
Fri Dec 15 14:44:39 2017	1513345479	45	266	310	222
Fri Dec 15 14:45:43 2017	1513345543	44	266	310	223
Fri Dec 15 14:47:09 2017	1513345629	44	267	310	224
Fri Dec 15 14:46:38 2017	1513345598	47	263	310	221
Fri Dec 15 14:46:06 2017	1513345566	46	265	310	222
Fri Dec 15 14:49:08 2017	1513345748	45	266	310	221
Fri Dec 15 14:49:29 2017	1513345769	46	265	310	221
Fri Dec 15 14:46:03 2017	1513345563	45	265	310	221
Fri Dec 15 14:46:58 2017	1513345618	45	265	310	221
Fri Dec 15 14:47:51 2017	1513345671	45	265	311	221
Fri Dec 15 14:47:21 2017	1513345641	45	266	311	221
Fri Dec 15 14:46:31 2017	1513345591	45	265	311	222
Fri Dec 15 14:45:48 2017	1513345548	44	266	311	222
Fri Dec 15 14:44:41 2017	1513345481	45	265	311	221
Fri Dec 15 14:44:59 2017	1513345499	46	265	311	222
Fri Dec 15 14:45:35 2017	1513345535	45	266	311	221
Fri Dec 15 14:49:14 2017	1513345754	46	265	311	222
Fri Dec 15 14:48:52 2017	1513345732	47	264	311	221
Fri Dec 15 14:49:30 2017	1513345770	45	266	311	224
Fri Dec 15 14:48:00 2017	1513345680	46	265	311	221
Fri Dec 15 14:46:00 2017	1513345560	45	266	311	221
Fri Dec 15 14:46:18 2017	1513345578	45	266	311	223
Fri Dec 15 14:47:53 2017	1513345673	46	264	311	221
Fri Dec 15 14:45:58 2017	1513345558	43	268	311	223
Fri Dec 15 14:47:30 2017	1513345650	47	263	311	220
Fri Dec 15 14:48:15 2017	1513345695	45	265	311	221
Fri Dec 15 14:47:53 2017	1513345673	46	265	311	223
Fri Dec 15 14:47:52 2017	1513345672	47	263	311	220
Fri Dec 15 14:46:42 2017	1513345602	46	265	311	221
