starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:33:24 2017	1513344804	46	53	99	48
Fri Dec 15 14:32:11 2017	1513344731	47	52	99	48
Fri Dec 15 14:32:51 2017	1513344771	46	53	99	47
Fri Dec 15 14:31:51 2017	1513344711	48	51	99	50
Fri Dec 15 14:32:42 2017	1513344762	47	52	99	47
Fri Dec 15 14:31:46 2017	1513344706	47	53	99	48
Fri Dec 15 14:33:25 2017	1513344805	47	52	99	48
Fri Dec 15 14:33:19 2017	1513344799	47	53	99	48
Fri Dec 15 14:33:18 2017	1513344798	48	51	99	47
Fri Dec 15 14:32:12 2017	1513344732	45	54	99	49
Fri Dec 15 14:33:27 2017	1513344807	47	52	99	47
Fri Dec 15 14:32:05 2017	1513344725	46	53	99	48
Fri Dec 15 14:32:45 2017	1513344765	47	52	99	47
Fri Dec 15 14:31:50 2017	1513344710	48	52	99	48
Fri Dec 15 14:31:58 2017	1513344718	46	53	99	47
Fri Dec 15 14:32:16 2017	1513344736	48	52	99	48
Fri Dec 15 14:31:59 2017	1513344719	47	52	99	48
Fri Dec 15 14:33:11 2017	1513344791	47	52	99	49
Fri Dec 15 14:32:37 2017	1513344757	47	52	99	47
Fri Dec 15 14:33:16 2017	1513344796	47	52	99	48
Fri Dec 15 14:32:40 2017	1513344760	47	53	99	47
Fri Dec 15 14:32:22 2017	1513344742	47	52	99	47
Fri Dec 15 14:33:07 2017	1513344787	46	53	99	47
Fri Dec 15 14:32:12 2017	1513344732	47	52	99	47
Fri Dec 15 14:32:19 2017	1513344739	45	54	99	47
Fri Dec 15 14:33:06 2017	1513344786	48	52	99	50
Fri Dec 15 14:31:50 2017	1513344710	45	54	99	45
Fri Dec 15 14:32:32 2017	1513344752	48	52	99	46
Fri Dec 15 14:32:56 2017	1513344776	45	54	99	47
Fri Dec 15 14:32:31 2017	1513344751	48	52	99	48
Fri Dec 15 14:32:39 2017	1513344759	48	52	99	46
Fri Dec 15 14:33:19 2017	1513344799	46	53	99	48
Fri Dec 15 14:32:22 2017	1513344742	48	52	99	48
Fri Dec 15 14:33:29 2017	1513344809	47	53	99	46
Fri Dec 15 14:32:36 2017	1513344756	47	52	99	50
Fri Dec 15 14:31:55 2017	1513344715	48	51	99	47
Fri Dec 15 14:32:52 2017	1513344772	47	52	99	45
Fri Dec 15 14:33:07 2017	1513344787	46	53	99	48
Fri Dec 15 14:32:05 2017	1513344725	49	51	100	45
Fri Dec 15 14:31:56 2017	1513344716	47	53	100	49
Fri Dec 15 14:32:52 2017	1513344772	44	56	100	51
Fri Dec 15 14:32:15 2017	1513344735	49	51	100	45
Fri Dec 15 14:32:21 2017	1513344741	48	51	100	47
Fri Dec 15 14:33:20 2017	1513344800	48	52	100	48
Fri Dec 15 14:31:58 2017	1513344718	48	52	100	46
Fri Dec 15 14:32:44 2017	1513344764	47	52	100	48
Fri Dec 15 14:31:46 2017	1513344706	46	54	100	48
Fri Dec 15 14:32:34 2017	1513344754	46	53	100	47
Fri Dec 15 14:33:20 2017	1513344800	49	51	100	46
Fri Dec 15 14:32:31 2017	1513344751	47	52	100	49
Fri Dec 15 14:32:39 2017	1513344759	48	52	100	49
Fri Dec 15 14:33:21 2017	1513344801	48	52	100	47
Fri Dec 15 14:33:08 2017	1513344788	46	53	100	49
Fri Dec 15 14:33:09 2017	1513344789	46	54	100	48
Fri Dec 15 14:32:40 2017	1513344760	48	52	100	48
Fri Dec 15 14:32:08 2017	1513344728	45	55	100	45
Fri Dec 15 14:32:18 2017	1513344738	47	53	100	50
Fri Dec 15 14:33:25 2017	1513344805	47	52	100	47
Fri Dec 15 14:33:08 2017	1513344788	47	52	100	48
Fri Dec 15 14:32:23 2017	1513344743	47	53	100	48
Fri Dec 15 14:32:45 2017	1513344765	45	55	100	50
Fri Dec 15 14:33:09 2017	1513344789	48	52	100	47
Fri Dec 15 14:33:01 2017	1513344781	47	53	100	48
Fri Dec 15 14:32:35 2017	1513344755	47	52	100	48
Fri Dec 15 14:31:52 2017	1513344712	44	56	100	47
Fri Dec 15 14:31:59 2017	1513344719	49	50	100	49
Fri Dec 15 14:32:48 2017	1513344768	47	53	100	48
Fri Dec 15 14:33:27 2017	1513344807	47	52	100	47
Fri Dec 15 14:32:36 2017	1513344756	47	53	100	50
Fri Dec 15 14:33:04 2017	1513344784	47	53	100	46
Fri Dec 15 14:33:16 2017	1513344796	48	52	100	49
Fri Dec 15 14:32:58 2017	1513344778	48	52	100	45
Fri Dec 15 14:32:04 2017	1513344724	46	53	100	49
Fri Dec 15 14:32:04 2017	1513344724	46	53	100	47
Fri Dec 15 14:32:25 2017	1513344745	50	50	100	48
Fri Dec 15 14:33:15 2017	1513344795	46	53	100	47
Fri Dec 15 14:33:14 2017	1513344794	47	53	100	47
Fri Dec 15 14:32:42 2017	1513344762	49	51	100	46
Fri Dec 15 14:33:05 2017	1513344785	48	52	100	48
Fri Dec 15 14:33:07 2017	1513344787	47	53	100	45
Fri Dec 15 14:33:28 2017	1513344808	47	53	100	46
Fri Dec 15 14:33:17 2017	1513344797	47	53	100	47
Fri Dec 15 14:33:19 2017	1513344799	48	52	100	47
Fri Dec 15 14:32:03 2017	1513344723	49	51	100	46
Fri Dec 15 14:31:59 2017	1513344719	45	55	100	46
Fri Dec 15 14:31:54 2017	1513344714	46	54	100	47
Fri Dec 15 14:33:18 2017	1513344798	49	51	100	47
Fri Dec 15 14:32:36 2017	1513344756	46	54	100	49
Fri Dec 15 14:32:03 2017	1513344723	48	52	100	48
Fri Dec 15 14:32:44 2017	1513344764	49	51	100	46
Fri Dec 15 14:32:06 2017	1513344726	45	56	100	45
Fri Dec 15 14:32:55 2017	1513344775	47	53	100	46
Fri Dec 15 14:31:50 2017	1513344710	46	54	100	50
Fri Dec 15 14:32:54 2017	1513344774	48	52	100	48
Fri Dec 15 14:32:53 2017	1513344773	48	53	100	49
Fri Dec 15 14:33:27 2017	1513344807	47	53	100	49
Fri Dec 15 14:32:54 2017	1513344774	47	53	100	49
Fri Dec 15 14:32:44 2017	1513344764	48	53	100	48
Fri Dec 15 14:33:15 2017	1513344795	50	50	100	47
Fri Dec 15 14:31:56 2017	1513344716	46	54	100	49
Fri Dec 15 14:33:05 2017	1513344785	48	52	100	51
Fri Dec 15 14:33:15 2017	1513344795	48	52	100	48
Fri Dec 15 14:32:54 2017	1513344774	48	52	100	47
Fri Dec 15 14:32:14 2017	1513344734	46	54	100	48
Fri Dec 15 14:32:11 2017	1513344731	44	56	100	46
Fri Dec 15 14:33:11 2017	1513344791	48	52	100	47
Fri Dec 15 14:33:30 2017	1513344810	50	51	100	45
Fri Dec 15 14:32:34 2017	1513344754	48	52	100	47
Fri Dec 15 14:32:45 2017	1513344765	48	52	100	47
Fri Dec 15 14:32:02 2017	1513344722	46	54	100	46
Fri Dec 15 14:31:53 2017	1513344713	46	54	100	46
Fri Dec 15 14:32:11 2017	1513344731	45	55	100	50
Fri Dec 15 14:32:40 2017	1513344760	47	53	100	48
Fri Dec 15 14:32:39 2017	1513344759	47	54	100	47
Fri Dec 15 14:32:15 2017	1513344735	46	54	100	50
Fri Dec 15 14:32:48 2017	1513344768	46	55	100	46
Fri Dec 15 14:32:20 2017	1513344740	47	53	100	45
Fri Dec 15 14:33:06 2017	1513344786	47	53	100	47
Fri Dec 15 14:33:12 2017	1513344792	48	53	100	51
Fri Dec 15 14:33:26 2017	1513344806	47	53	100	45
Fri Dec 15 14:32:15 2017	1513344735	48	52	100	47
Fri Dec 15 14:31:51 2017	1513344711	49	52	100	48
Fri Dec 15 14:33:06 2017	1513344786	48	53	100	47
Fri Dec 15 14:33:12 2017	1513344792	49	52	100	47
Fri Dec 15 14:32:31 2017	1513344751	45	55	100	50
Fri Dec 15 14:33:22 2017	1513344802	45	55	100	46
Fri Dec 15 14:31:46 2017	1513344706	47	53	100	52
Fri Dec 15 14:31:59 2017	1513344719	47	54	100	45
Fri Dec 15 14:33:03 2017	1513344783	49	51	100	50
Fri Dec 15 14:32:34 2017	1513344754	47	54	100	51
Fri Dec 15 14:32:20 2017	1513344740	47	54	101	47
Fri Dec 15 14:32:09 2017	1513344729	47	54	101	49
Fri Dec 15 14:33:22 2017	1513344802	48	53	101	53
