starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 15:11:54 2017	1513347114	46	50	96	48
Fri Dec 15 15:11:42 2017	1513347102	49	48	96	47
Fri Dec 15 15:12:23 2017	1513347143	49	47	96	47
Fri Dec 15 15:12:00 2017	1513347120	48	49	96	48
Fri Dec 15 15:12:53 2017	1513347173	49	47	96	46
Fri Dec 15 15:12:21 2017	1513347141	49	48	96	48
Fri Dec 15 15:12:11 2017	1513347131	46	51	96	50
Fri Dec 15 15:12:56 2017	1513347176	48	48	96	48
Fri Dec 15 15:11:48 2017	1513347108	49	48	96	48
Fri Dec 15 15:12:22 2017	1513347142	47	50	97	50
Fri Dec 15 15:11:54 2017	1513347114	50	47	97	46
Fri Dec 15 15:12:07 2017	1513347127	46	50	97	50
Fri Dec 15 15:11:42 2017	1513347102	47	49	97	49
Fri Dec 15 15:12:16 2017	1513347136	46	51	97	50
Fri Dec 15 15:12:12 2017	1513347132	48	49	97	49
Fri Dec 15 15:12:16 2017	1513347136	48	49	97	48
Fri Dec 15 15:12:08 2017	1513347128	48	49	97	48
Fri Dec 15 15:11:54 2017	1513347114	47	49	97	48
Fri Dec 15 15:11:36 2017	1513347096	48	49	97	49
Fri Dec 15 15:11:43 2017	1513347103	48	49	97	48
Fri Dec 15 15:11:36 2017	1513347096	47	50	97	49
Fri Dec 15 15:11:55 2017	1513347115	46	51	97	51
Fri Dec 15 15:12:17 2017	1513347137	45	51	97	50
Fri Dec 15 15:13:02 2017	1513347182	49	48	97	47
Fri Dec 15 15:12:45 2017	1513347165	47	49	97	49
Fri Dec 15 15:12:42 2017	1513347162	47	50	97	50
Fri Dec 15 15:12:51 2017	1513347171	48	48	97	47
Fri Dec 15 15:12:03 2017	1513347123	46	51	97	50
Fri Dec 15 15:12:45 2017	1513347165	48	49	97	49
Fri Dec 15 15:11:34 2017	1513347094	47	50	97	49
Fri Dec 15 15:11:55 2017	1513347115	47	50	97	49
Fri Dec 15 15:12:36 2017	1513347156	47	50	97	50
Fri Dec 15 15:11:58 2017	1513347118	47	50	97	49
Fri Dec 15 15:11:30 2017	1513347090	48	49	97	48
Fri Dec 15 15:11:47 2017	1513347107	48	48	97	48
Fri Dec 15 15:12:58 2017	1513347178	46	50	97	50
Fri Dec 15 15:13:04 2017	1513347184	46	51	97	51
Fri Dec 15 15:11:54 2017	1513347114	51	46	97	45
Fri Dec 15 15:12:50 2017	1513347170	48	49	97	49
Fri Dec 15 15:12:02 2017	1513347122	48	49	97	48
Fri Dec 15 15:12:48 2017	1513347168	49	48	97	47
Fri Dec 15 15:11:57 2017	1513347117	48	49	97	49
Fri Dec 15 15:11:40 2017	1513347100	48	49	97	49
Fri Dec 15 15:13:01 2017	1513347181	47	49	97	49
Fri Dec 15 15:12:22 2017	1513347142	48	49	97	49
Fri Dec 15 15:11:45 2017	1513347105	47	50	97	50
Fri Dec 15 15:12:38 2017	1513347158	48	49	97	49
Fri Dec 15 15:12:55 2017	1513347175	47	50	97	49
Fri Dec 15 15:11:47 2017	1513347107	50	47	97	46
Fri Dec 15 15:12:23 2017	1513347143	47	50	97	49
Fri Dec 15 15:11:29 2017	1513347089	49	48	97	47
Fri Dec 15 15:12:03 2017	1513347123	48	49	97	48
Fri Dec 15 15:12:38 2017	1513347158	48	49	97	48
Fri Dec 15 15:12:10 2017	1513347130	47	50	97	49
Fri Dec 15 15:12:56 2017	1513347176	48	49	97	48
Fri Dec 15 15:12:15 2017	1513347135	49	48	97	47
Fri Dec 15 15:12:45 2017	1513347165	44	53	97	53
Fri Dec 15 15:12:20 2017	1513347140	51	46	97	46
